sku,year_month,revenue,quantity,unique_customers,avg_discount_pct,avg_unit_price,units_sold,delivered_qty,stock_available,price_unit,promotion_flag,delivery_days,year_month_dt,launch_month,product_age_months,sales_growth_rate,rolling_avg_sales_3m,rolling_avg_sales_6m,consecutive_negative_growth_count,sales_std_dev_3m,coefficient_of_variation,growth_volatility_3m,peak_sales_value,drop_from_peak_percentage,is_peak_month,time_since_peak,sales_momentum,plc_stage,decline_risk_3m,decline_risk_prob,decline_risk_level,decline_reason,recommended_action
mi-008,2022-01,6801.22,1253,500,5.395752895752896,5.263280244530244,1253.0,0.0,157.97240888548887,5.263280244530244,0.0,3.001113771337278,2022-01-01,2022-01-01,0,0.0,1253.0,1253.0,0,0.0,0.0,0.0,1253.0,0.0,1,0,0.0,Introduction,0,0.022048710148009586,Low Risk,,
sn-013,2022-01,6677.18,1264,502,5.437743190661479,5.2700291828793775,1264.0,0.0,158.46131157258125,5.2700291828793775,0.0,3.02507417728954,2022-01-01,2022-01-01,0,0.0,1264.0,1264.0,0,0.0,0.0,0.0,1264.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
sn-010,2022-01,7704.41,1497,577,5.275459098497496,5.236072621035058,1497.0,0.0,158.1383723569427,5.236072621035058,0.0,3.0047479272894626,2022-01-01,2022-01-01,0,0.0,1497.0,1497.0,0,0.0,0.0,0.0,1497.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
re-025,2022-01,8520.77,1480,585,5.1923076923076925,5.199951923076923,1480.0,0.0,158.6998224226874,5.199951923076923,0.0,2.9938827028902018,2022-01-01,2022-01-01,0,0.0,1480.0,1480.0,0,0.0,0.0,0.0,1480.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
re-017,2022-01,8822.8,1624,600,5.431034482758621,5.209955590386625,1624.0,0.0,158.5310100197336,5.209955590386625,0.0,3.011985734153112,2022-01-01,2022-01-01,0,0.0,1624.0,1624.0,0,0.0,0.0,0.0,1624.0,0.0,1,0,0.0,Introduction,0,0.005338147440278722,Low Risk,,
re-015,2022-01,10111.01,1907,723,5.123859191655802,5.231991525423729,1907.0,0.0,157.47851563559638,5.231991525423729,0.0,2.984233211652143,2022-01-01,2022-01-01,0,0.0,1907.0,1907.0,0,0.0,0.0,0.0,1907.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
mi-011,2022-01,7061.11,1242,479,4.909456740442656,5.240503018108653,1242.0,0.0,157.0394185284058,5.240503018108653,0.0,3.0073267002354656,2022-01-01,2022-01-01,0,0.0,1242.0,1242.0,0,0.0,0.0,0.0,1242.0,0.0,1,0,0.0,Introduction,0,0.005087479176132061,Low Risk,,
re-007,2022-01,10434.43,1819,695,5.311231393775373,5.259316644113667,1819.0,0.0,157.30064869633824,5.259316644113667,0.0,3.030811958969566,2022-01-01,2022-01-01,0,0.0,1819.0,1819.0,0,0.0,0.0,0.0,1819.0,0.0,1,0,0.0,Introduction,0,0.04385061224146968,Low Risk,,
re-004,2022-01,10134.92,1839,717,5.200777202072539,5.08685341105354,1839.0,0.0,157.4613317223726,5.08685341105354,0.0,2.981312758387862,2022-01-01,2022-01-01,0,0.0,1839.0,1839.0,0,0.0,0.0,0.0,1839.0,0.0,1,0,0.0,Introduction,0,0.0021903284199637964,Low Risk,,
mi-026,2022-01,12502.53,2223,837,5.021857923497268,5.126537340619308,972.0,12227.0,154.29166666666666,5.018350077644259,1.0,2.875152853579399,2022-01-01,2022-01-01,0,0.0,972.0,972.0,0,0.0,0.0,0.0,972.0,0.0,1,0,0.0,Introduction,0,0.061651741678732296,Low Risk,,
mi-023,2022-01,10357.81,1965,739,5.510204081632653,5.21858843537415,1965.0,0.0,157.69436519368776,5.21858843537415,0.0,2.998725512412432,2022-01-01,2022-01-01,0,0.0,1965.0,1965.0,0,0.0,0.0,0.0,1965.0,0.0,1,0,0.0,Introduction,0,0.05129601547341587,Low Risk,,
yo-016,2022-01,8818.25,1532,604,5.230891719745223,5.200886411889597,1532.0,0.0,157.5723661390969,5.200886411889597,0.0,2.9890877378422136,2022-01-01,2022-01-01,0,0.0,1532.0,1532.0,0,0.0,0.0,0.0,1532.0,0.0,1,0,0.0,Introduction,0,0.02952021270035693,Low Risk,,
yo-018,2022-01,6585.28,1211,462,5.58282208588957,5.267211997273346,1211.0,0.0,155.85411659336205,5.267211997273346,0.0,3.0178833411306814,2022-01-01,2022-01-01,0,0.0,1211.0,1211.0,0,0.0,0.0,0.0,1211.0,0.0,1,0,0.0,Introduction,0,0.015344501437604713,Low Risk,,
mi-022,2022-01,8319.87,1450,584,5.462662337662338,5.059412878787879,1450.0,0.0,157.91746567815267,5.059412878787879,0.0,2.9842251876852433,2022-01-01,2022-01-01,0,0.0,1450.0,1450.0,0,0.0,0.0,0.0,1450.0,0.0,1,0,0.0,Introduction,0,0.002562008469449486,Low Risk,,
yo-029,2022-01,10572.78,1931,747,4.824341279799247,5.256773316603931,1931.0,0.0,158.11769952592994,5.256773316603931,0.0,3.0090543247309753,2022-01-01,2022-01-01,0,0.0,1931.0,1931.0,0,0.0,0.0,0.0,1931.0,0.0,1,0,0.0,Introduction,0,0.0029750614682121533,Low Risk,,
yo-020,2022-01,7998.4800000000005,1346,534,5.394736842105263,5.284460526315789,1346.0,0.0,156.5025866777403,5.284460526315789,0.0,2.9916852414494777,2022-01-01,2022-01-01,0,0.0,1346.0,1346.0,0,0.0,0.0,0.0,1346.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-024,2022-01,6014.16,1148,447,4.935622317596566,5.207879113018598,1148.0,0.0,159.72015059083202,5.207879113018598,0.0,2.99928356299706,2022-01-01,2022-01-01,0,0.0,1148.0,1148.0,0,0.0,0.0,0.0,1148.0,0.0,1,0,0.0,Introduction,0,0.0,Low Risk,,
yo-001,2022-02,9276.36,1669,650,5.3372434017595305,5.3713660801564025,1669.0,0.0,157.39210058585013,5.3713660801564025,0.0,3.0268535948592565,2022-02-01,2022-01-01,1,-0.15236160487557138,1819.0,1819.0,1,212.13203435596427,0.11662013983285556,0.10773592399998186,1969.0,0.15236160487557135,0,1,-0.15236160487557138,Introduction,0,0.01599322142970465,Low Risk,Negative sales momentum,
mi-026,2022-02,10829.54,1983,751,5.229528535980148,5.288594913151365,2715.0,36448.0,153.81642512077295,5.17749957092161,1.0,2.932579815608053,2022-02-01,2022-01-01,1,1.79320987654321,1843.5,1843.5,0,1232.4871196081524,0.6685582422609994,1.2679908637943955,2715.0,0.0,1,0,1.79320987654321,Introduction,0,0.16567704341494602,Low Risk,,
re-007,2022-02,9989.13,1752,676,5.125173852573018,5.285165739452944,1752.0,0.0,157.30064869633824,5.285165739452944,0.0,3.030811958969566,2022-02-01,2022-01-01,1,-0.03683342495876851,1785.5,1785.5,1,47.37615433949868,0.026533830489778035,0.026045164562671044,1819.0,0.036833424958768554,0,1,-0.03683342495876851,Introduction,0,0.6354533274282759,Medium Risk,Negative sales momentum,
yo-009,2022-02,7787.28,1412,552,4.931972789115647,5.104049036281179,1412.0,0.0,157.6042480356272,5.104049036281179,0.0,3.0203479302422136,2022-02-01,2022-01-01,1,-0.20718697361033123,1596.5,1596.5,1,260.92240225783604,0.16343401331527468,0.14650331401338348,1781.0,0.20718697361033128,0,1,-0.20718697361033123,Introduction,0,0.7085684920647956,High Risk,Negative sales momentum,Monitor closely and prepare corrective actions
yo-024,2022-02,6261.25,1081,412,5.32183908045977,5.2669636015325665,1081.0,0.0,159.72015059083202,5.2669636015325665,0.0,2.99928356299706,2022-02-01,2022-01-01,1,-0.058362369337979114,1114.5,1114.5,1,47.37615433949868,0.042508886800806354,0.04126842712499887,1148.0,0.05836236933797909,0,1,-0.058362369337979114,Introduction,0,0.7287400840935898,High Risk,Negative sales momentum,Monitor closely and prepare corrective actions
sn-027,2022-02,7922.53,1504,557,5.337268128161889,5.192605396290051,1504.0,0.0,157.58855976896365,5.192605396290051,0.0,3.007103319171543,2022-02-01,2022-01-01,1,-0.006605019815059454,1509.0,1509.0,1,7.0710678118654755,0.00468592963012954,0.0046704543011000564,1514.0,0.0066050198150594455,0,1,-0.006605019815059454,Introduction,0,0.48280851480222814,Medium Risk,Negative sales momentum,
mi-011,2022-02,5963.12,1136,443,4.9036402569593145,5.314266595289078,1136.0,0.0,157.0394185284058,5.314266595289078,0.0,3.0073267002354656,2022-02-01,2022-01-01,1,-0.08534621578099844,1189.0,1189.0,1,74.95331880577403,0.06303895610241718,0.06034888792735433,1242.0,0.0853462157809984,0,1,-0.08534621578099844,Introduction,0,0.0,Low Risk,Negative sales momentum,
yo-005,2022-02,9171.77,1705,649,5.12301013024602,5.2613820549927635,1705.0,0.0,157.6589602862352,5.2613820549927635,0.0,3.020077337555214,2022-02-01,2022-01-01,1,-0.1331977630910015,1836.0,1836.0,1,185.26197667087544,0.10090521605167507,0.0941850415205264,1967.0,0.13319776309100154,0,1,-0.1331977630910015,Introduction,0,0.013708059794382815,Low Risk,Negative sales momentum,
yo-020,2022-02,6873.08,1220,471,5.28169014084507,5.203081824279008,1220.0,0.0,156.5025866777403,5.203081824279008,0.0,2.9916852414494777,2022-02-01,2022-01-01,1,-0.09361069836552749,1283.0,1283.0,1,89.09545442950498,0.06944306658574044,0.06619275960587295,1346.0,0.09361069836552749,0,1,-0.09361069836552749,Introduction,0,0.0,Low Risk,Negative sales momentum,
sn-028,2022-02,6349.25,1175,448,5.01063829787234,5.189615248226951,1175.0,0.0,157.84454134161965,5.189615248226951,0.0,3.0165809015432297,2022-02-01,2022-01-01,1,0.045373665480427094,1149.5,1149.5,0,36.062445840513924,0.03137228868248275,0.03208402654849996,1175.0,0.0,1,0,0.045373665480427094,Introduction,0,0.0,Low Risk,,
mi-022,2022-02,6896.8,1328,507,5.615808823529412,5.115500919117647,1328.0,0.0,157.91746567815267,5.115500919117647,0.0,2.9842251876852433,2022-02-01,2022-01-01,1,-0.08413793103448275,1389.0,1389.0,1,86.2670273047588,0.06210729107614024,0.059494501589488824,1450.0,0.08413793103448276,0,1,-0.08413793103448275,Introduction,0,0.0,Low Risk,Negative sales momentum,
yo-003,2022-02,8084.53,1488,563,5.2579034941763725,5.047918746533555,1488.0,0.0,158.03803096024694,5.047918746533555,0.0,3.005501598154018,2022-02-01,2022-01-01,1,-0.10576923076923073,1576.0,1576.0,1,124.45079348883236,0.07896623952337078,0.07479014031780788,1664.0,0.10576923076923077,0,1,-0.10576923076923073,Introduction,0,0.010977563340482105,Low Risk,Negative sales momentum,
re-004,2022-02,9937.38,1695,651,5.179856115107913,5.213381294964029,1695.0,0.0,157.4613317223726,5.213381294964029,0.0,2.981312758387862,2022-02-01,2022-01-01,1,-0.0783034257748777,1767.0,1767.0,1,101.82337649086284,0.05762500084372543,0.05536888335555351,1839.0,0.07830342577487764,0,1,-0.0783034257748777,Introduction,0,0.0,Low Risk,Negative sales momentum,
sn-030,2022-02,5808.19,1050,410,4.9763593380614655,5.2122044917257675,1050.0,0.0,157.93209873196346,5.2122044917257675,0.0,3.031663916920807,2022-02-01,2022-01-01,1,-0.03934126258005488,1071.5,1071.5,1,30.405591591021544,0.028376660374261824,0.027818473550797376,1093.0,0.039341262580054895,0,1,-0.03934126258005488,Introduction,0,0.0,Low Risk,Negative sales momentum,
sn-019,2022-02,5949.61,1128,442,5.678336980306346,5.223827498176513,1128.0,0.0,157.1942994680801,5.223827498176513,0.0,3.0101191763912754,2022-02-01,2022-01-01,1,-0.11598746081504707,1202.0,1202.0,1,104.65180361560904,0.08706472846556493,0.08201552007492875,1276.0,0.11598746081504702,0,1,-0.11598746081504707,Introduction,0,0.0,Low Risk,Negative sales momentum,
yo-012,2022-02,9118.65,1729,646,5.180635838150289,5.175726156069364,1729.0,0.0,157.35076740593664,5.175726156069364,0.0,3.005546044013909,2022-02-01,2022-01-01,1,-0.12188928390045706,1849.0,1849.0,1,169.7056274847714,0.09178238371269411,0.08618873919998546,1969.0,0.12188928390045708,0,1,-0.12188928390045706,Introduction,0,0.0,Low Risk,Negative sales momentum,
yo-018,2022-02,5824.12,1089,423,5.423340961098398,5.185564454614798,1089.0,0.0,155.85411659336205,5.185564454614798,0.0,3.0178833411306814,2022-02-01,2022-01-01,1,-0.10074318744838973,1150.0,1150.0,1,86.2670273047588,0.07501480635196417,0.07123619100310385,1211.0,0.10074318744838975,0,1,-0.10074318744838973,Introduction,0,0.0,Low Risk,Negative sales momentum,
mi-006,2022-02,10070.13,1756,690,5.435073627844712,5.3298058902275764,2610.0,36983.0,156.24878048780488,5.212941247616834,1.0,3.1271782218300435,2022-02-01,2022-01-01,1,1.6337033299697277,1800.5,1800.5,0,1144.8058787410205,0.6358266474540519,1.1552027030686383,2610.0,0.0,1,0,1.6337033299697277,Introduction,0,0.0,Low Risk,,
re-017,2022-02,7961.99,1393,530,5.306859205776173,5.208056558363418,1393.0,0.0,158.5310100197336,5.208056558363418,0.0,3.011985734153112,2022-02-01,2022-01-01,1,-0.14224137931034486,1508.5,1508.5,1,163.3416664540925,0.10828085280350845,0.10057984387567273,1624.0,0.14224137931034483,0,1,-0.14224137931034486,Introduction,0,0.0,Low Risk,Negative sales momentum,
yo-016,2022-02,7570.03,1292,537,5.008849557522124,5.396448377581121,1292.0,0.0,157.5723661390969,5.396448377581121,0.0,2.9890877378422136,2022-02-01,2022-01-01,1,-0.1566579634464752,1412.0,1412.0,1,169.7056274847714,0.1201881214481384,0.1107739082798769,1532.0,0.1566579634464752,0,1,-0.1566579634464752,Introduction,0,0.0,Low Risk,Negative sales momentum,
mi-002,2022-02,5727.16,1047,425,5.25959367945824,5.089080135440181,1047.0,0.0,157.08048543749308,5.089080135440181,0.0,3.0019508074517507,2022-02-01,2022-01-01,1,-0.1749408983451537,1158.0,1158.0,1,156.97770542341354,0.13555933110830184,0.12370189552672464,1269.0,0.17494089834515367,0,1,-0.1749408983451537,Introduction,0,0.0,Low Risk,Negative sales momentum,
sn-013,2022-02,6641.3,1267,493,5.361328125,5.204357096354166,1267.0,0.0,158.46131157258125,5.204357096354166,0.0,3.02507417728954,2022-02-01,2022-01-01,1,0.002373417721518889,1265.5,1265.5,0,2.1213203435596424,0.0016762705203948183,0.0016782597654743314,1267.0,0.0,1,0,0.002373417721518889,Introduction,0,0.0,Low Risk,,
re-015,2022-02,9933.83,1809,686,5.123119015047879,5.310575695394436,1809.0,0.0,157.47851563559638,5.310575695394436,0.0,2.984233211652143,2022-02-01,2022-01-01,1,-0.051389617199790294,1858.0,1858.0,1,69.29646455628166,0.03729626725311177,0.03633794680455255,1907.0,0.051389617199790245,0,1,-0.051389617199790294,Introduction,0,0.0,Low Risk,Negative sales momentum,
sn-010,2022-02,7489.84,1299,503,5.112570356472795,5.273760162601626,1299.0,0.0,158.1383723569427,5.273760162601626,0.0,3.0047479272894626,2022-02-01,2022-01-01,1,-0.13226452905811625,1398.0,1398.0,1,140.0071426749364,0.1001481707259917,0.09352514540743917,1497.0,0.13226452905811623,0,1,-0.13226452905811625,Introduction,0,0.0,Low Risk,Negative sales momentum,
ju-021,2022-02,9179.15,1605,606,5.2080123266563945,5.221872110939907,1605.0,0.0,157.90634361902644,5.221872110939907,0.0,3.02672390621261,2022-02-01,2022-01-01,1,-0.06902552204176338,1664.5,1664.5,1,84.14570696119915,0.05055314326296134,0.04880841471067238,1724.0,0.06902552204176333,0,1,-0.06902552204176338,Introduction,0,0.0,Low Risk,Negative sales momentum,
yo-014,2022-02,10269.52,1795,693,5.281593406593407,5.234144917582418,1795.0,0.0,158.1051590882524,5.234144917582418,0.0,2.9824280602846898,2022-02-01,2022-01-01,1,-0.10473815461346636,1900.0,1900.0,1,148.49242404917499,0.07815390739430263,0.07406105937614714,2005.0,0.10473815461346633,0,1,-0.10473815461346636,Introduction,0,0.005338147440278722,Low Risk,Negative sales momentum,
mi-023,2022-02,9479.56,1706,653,5.235378031383737,5.116947218259629,1706.0,0.0,157.69436519368776,5.116947218259629,0.0,2.998725512412432,2022-02-01,2022-01-01,1,-0.13180661577608144,1835.5,1835.5,1,183.1406563273158,0.0997769851960315,0.09320135182051696,1965.0,0.13180661577608144,0,1,-0.13180661577608144,Introduction,0,0.01428966424302709,Low Risk,Negative sales momentum,
mi-008,2022-02,6104.19,1060,421,5.296803652968037,5.21201103500761,1060.0,0.0,157.97240888548887,5.21201103500761,0.0,3.001113771337278,2022-02-01,2022-01-01,1,-0.1540303272146848,1156.5,1156.5,1,136.47160876900367,0.11800398510073815,0.10891588888188644,1253.0,0.15403032721468476,0,1,-0.1540303272146848,Introduction,0,0.03406944852968712,Low Risk,Negative sales momentum,
re-025,2022-02,8375.34,1426,570,5.255775577557756,5.330671067106711,1426.0,0.0,158.6998224226874,5.330671067106711,0.0,2.9938827028902018,2022-02-01,2022-01-01,1,-0.03648648648648645,1453.0,1453.0,1,38.18376618407357,0.0262792609663273,0.025799842016265895,1480.0,0.03648648648648649,0,1,-0.03648648648648645,Introduction,0,0.008231564422055746,Low Risk,Negative sales momentum,
yo-029,2022-02,9332.8,1697,642,5.210755813953488,5.241483769379845,141.0,1034.0,158.5,5.307771207177814,1.0,3.0,2022-02-01,2022-01-01,1,-0.9269808389435525,1036.0,1036.0,1,1265.72113832392,1.2217385505057143,0.6554744372469808,1931.0,0.9269808389435525,0,1,-0.9269808389435525,Introduction,0,0.006297074524452923,Low Risk,Significant drop from peak sales; Negative sales momentum,Review pricing and promotions
re-025,2022-03,7849.06,1466,561,5.058528428093646,5.176439520624303,1466.0,0.0,158.6998224226874,5.176439520624303,0.0,2.9938827028902018,2022-03-01,2022-01-01,2,0.028050490883590573,1457.3333333333333,1457.3333333333333,0,28.02379940931161,0.01922950554161364,0.03236025129436005,1480.0,0.00945945945945946,0,2,0.06453697737007702,Introduction,0,0.011801073786496925,Low Risk,,
mi-011,2022-03,6770.7699999999995,1279,478,5.108481262327416,5.154431295200526,1279.0,0.0,157.0394185284058,5.154431295200526,0.0,3.0073267002354656,2022-03-01,2022-01-01,2,0.12588028169014076,1219.0,1219.0,0,74.22263805605402,0.060888136223178034,0.10625947416618993,1279.0,0.0,1,0,0.2112264974711392,Introduction,0,0.005845039568443825,Low Risk,,
sn-030,2022-03,6347.27,1203,462,5.2615062761506275,5.2400313807531385,1203.0,0.0,157.93209873196346,5.2400313807531385,0.0,3.031663916920807,2022-03-01,2022-01-01,2,0.14571428571428569,1115.3333333333333,1115.3333333333333,0,78.90711839456145,0.07074756580504614,0.09749012253995815,1203.0,0.0,1,0,0.18505554829434057,Introduction,0,0.0,Low Risk,,
re-017,2022-03,7210.41,1361,529,5.236363636363636,5.020242424242424,1361.0,0.0,158.5310100197336,5.020242424242424,0.0,3.011985734153112,2022-03-01,2022-01-01,2,-0.022972002871500363,1459.3333333333333,1459.3333333333333,2,143.50029035975268,0.09833277091805803,0.07636044685148241,1624.0,0.16194581280788178,0,2,0.1192693764388445,Introduction,0,0.0,Low Risk,,
yo-024,2022-03,6449.5,1208,487,5.019762845849803,5.167737154150197,1208.0,0.0,159.72015059083202,5.167737154150197,0.0,2.99928356299706,2022-03-01,2022-01-01,2,0.1174838112858465,1145.6666666666667,1145.6666666666667,0,63.53214409520058,0.05545430092685532,0.08956421468140255,1208.0,0.0,1,0,0.17584618062382562,Introduction,0,0.0,Low Risk,,
sn-010,2022-03,8184.37,1531,587,5.3827361563517915,5.271505157437568,1531.0,0.0,158.1383723569427,5.271505157437568,0.0,3.0047479272894626,2022-03-01,2022-01-01,2,0.17859892224788299,1442.3333333333333,1442.3333333333333,0,125.2889992510649,0.08686549520526801,0.15600617831405908,1531.0,0.0,1,0,0.31086345130599924,Introduction,0,0.0,Low Risk,,
yo-029,2022-03,12080.2,2029,763,5.278450363196126,5.2293512913640035,4631.0,41699.0,159.75438596491227,5.4191212508228155,1.0,3.0308706978158275,2022-03-01,2022-01-01,2,31.843971631205676,2234.3333333333335,2234.3333333333335,0,2260.3170869002724,1.0116293093690611,18.658479522394014,4631.0,0.0,1,0,32.770952470149226,Introduction,0,0.0026435705368289633,Low Risk,,
sn-027,2022-03,9910.39,1567,636,5.253731343283582,5.110876865671641,1567.0,0.0,157.58855976896365,5.110876865671641,0.0,3.007103319171543,2022-03-01,2022-01-01,2,0.041888297872340496,1528.3333333333333,1528.3333333333333,0,33.857544703261276,0.022153246261675863,0.026299105326133405,1567.0,0.0,1,0,0.04849331768739995,Introduction,0,0.034494666924245194,Low Risk,,
mi-008,2022-03,5950.83,1091,435,4.978118161925602,4.979513129102844,1091.0,0.0,157.97240888548887,4.979513129102844,0.0,3.001113771337278,2022-03-01,2022-01-01,2,0.029245283018867863,1134.6666666666667,1134.6666666666667,0,103.64522822268923,0.09134420818685889,0.09846367992581297,1253.0,0.12928970470869913,0,2,0.18327561023355265,Introduction,0,0.07179046896128576,Low Risk,,
re-007,2022-03,9187.3,1738,661,4.957081545064377,5.211027658559847,1738.0,0.0,157.30064869633824,5.211027658559847,0.0,3.030811958969566,2022-03-01,2022-01-01,2,-0.007990867579908634,1769.6666666666667,1769.6666666666667,2,43.293571501244095,0.024464252119746146,0.01937544956478727,1819.0,0.04452996151731721,0,2,0.02884255737885988,Introduction,0,0.2815449229956693,Low Risk,,
mi-006,2022-03,12538.19,2085,776,5.205399061032864,5.293548513302035,3766.0,42022.0,150.58050847457628,5.288825381483112,1.0,3.0468899692639857,2022-03-01,2022-01-01,2,0.4429118773946361,2455.6666666666665,2455.6666666666665,0,1393.9226425212173,0.5676351197995999,0.8449005646640038,3766.0,0.0,1,0,-1.1907914525750916,Introduction,0,0.13776706353947848,Low Risk,Negative sales momentum,
sn-013,2022-03,7503.8,1349,530,5.489130434782608,5.185356280193236,1349.0,0.0,158.46131157258125,5.185356280193236,0.0,3.02507417728954,2022-03-01,2022-01-01,2,0.06471981057616416,1293.3333333333333,1293.3333333333333,0,48.23207784590393,0.03729284369528655,0.036700044719957206,1349.0,0.0,1,0,0.06234639285464527,Introduction,0,0.19043103269652942,Low Risk,,
sn-028,2022-03,6302.03,1210,471,5.276639344262295,5.084492827868853,1210.0,0.0,157.84454134161965,5.084492827868853,0.0,3.0165809015432297,2022-03-01,2022-01-01,2,0.029787234042553123,1169.6666666666667,1169.6666666666667,0,43.24735059322514,0.03697408144191377,0.02305423199039995,1210.0,0.0,1,0,-0.015586431437873971,Introduction,0,0.0,Low Risk,Negative sales momentum,
re-015,2022-03,9369.92,1775,680,5.364656381486676,5.216439925198691,1775.0,0.0,157.47851563559638,5.216439925198691,0.0,2.984233211652143,2022-03-01,2022-01-01,2,-0.018794914317302402,1830.3333333333333,1830.3333333333333,2,68.53709457901853,0.03744514364178758,0.02600178268290268,1907.0,0.0692186680650236,0,2,0.03259470288248789,Introduction,0,0.0,Low Risk,,
sn-019,2022-03,7136.43,1256,500,5.239923224568138,5.286497120921305,1256.0,0.0,157.1942994680801,5.286497120921305,0.0,3.0101191763912754,2022-03-01,2022-01-01,2,0.11347517730496448,1220.0,1220.0,0,80.29943959953893,0.06581921278650732,0.11473361119255811,1276.0,0.01567398119122257,0,2,0.22946263812001155,Introduction,0,0.0,Low Risk,,
